Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/25/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54894785,0.556844548,0.533570476,0.477516912,0.437550592,0.418398193,0.444303703,0.438174326,0.434712306,0.435108328,0.425777821,0.421318232,0.431336359,0.449521757,0.427988231,0.506252445,0.498384331,0.512418427,,,,,,
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.47194003,37.76544351,30.27167447,31.75099054,29.24973678,30.62285367,25.39474053,30.20560247,27.09154001,24.50744042,24.60324707,23.89137214,23.46312554,21.40072204,21.91029502,
Angola,AGO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,13.79150009,13.68099976,14.20100021,18.9904995,17.72900009,18.35566711,25,11.53846154,11.52416357,6.643018381,7.312252964,7.026869166,9.002017942,13.03375828,6.290256828,5.664689564,8.156377022,,,,,,,,,,,,,,,,
Albania,ALB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,33.60020616,32.40029884,31.69971047,34.10009748,33.09994105,34.60001209,34.00000038,33.20002472,31.49988182,32.3001977,35.90078991,39.29529516,51.64187027,54.64097649,53.62098061,55.81214471,37.47960473,32.70015991,30.47521816,27.11773207,26.49046231,24.45305458,24.23593287,24.3326986,22.93252108,21.23432791,20.22234444,19.87479759,19.42053473,19.40978082,20.65818885,20.95812415,21.66068033,22.42850678,22.9030751,22.85781175,22.89488599,
Andorra,AND,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541547155,0.50555252,0.448083962,0.485756628,0.482899985,0.443298711,0.415418168,0.436699121,0.479777954,0.471054406,0.54299807,0.587770468,0.679288459,0.640691785,0.55163973,0.520919826,,
Arab World,ARB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19359429,9.86447886,8.928500798,7.986115233,7.779741424,7.353753963,6.478790726,,5.470089959,6.242959469,6.336791873,6.611963866,6.551663069,7.015825859,7.151248636,
United Arab Emirates,ARE,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.777961067,,,,,,,
Argentina,ARG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,12.90416299,10.27858628,9.980386317,9.721276985,9.185892729,9.637560964,10.86594775,10.98486987,11.9525478,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.71649176,5.990787091,5.492024824,5.513866575,5.787003811,6.081254642,5.673366839,5.702933908,4.815329504,5.053021489,4.892806074,10.82208718,11.04233015,9.836322067,9.334086932,8.170263748,8.832323097,8.728981268,6.288317043,8.502201697,8.329512284,6.893786474,7.207752161,7.997917562,6.04397789,7.560387746,
Armenia,ARM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37626972,24.97346072,31.04272063,51.36558932,44.87099732,42.25531295,36.82596272,31.96867744,33.99572797,29.46402128,25.54787016,28.32815471,25.96189882,23.68209805,24.6622,20.89251738,20.45109791,20.28206022,18.39812089,18.9138923,19.15305157,22.81541556,20.06807001,20.7403686,20.37766743,19.27026075,17.71371061,
American Samoa,ASM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,5.492730295,5.022743521,4.007593303,3.460570643,3.349761576,3.083710306,3.035576594,2.303584553,2.408999632,2.182476415,2.215775087,2.047727611,1.960887781,2.051357291,2.041298681,2.070214988,2.000759182,1.812730425,1.902958735,1.879896708,1.989317959,1.920871405,1.909284656,1.768616388,1.821060855,1.966082875,1.990820864,1.866174901,2.016259566,1.908694861,1.897969183,1.803563351,1.716289416,1.894168639,2.244024492,2.202492712,2.300624606,1.8044368,1.928881009,1.891544338,
Australia,AUS,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.583487913,3.477511362,3.347083542,3.546286882,3.638837365,3.308678371,3.713624366,3.552382608,3.314976207,3.325665002,3.384382526,3.834352261,4.306210393,3.179151615,3.376800287,3.160457634,2.976212497,2.401312509,2.52035865,2.465173787,2.375384473,2.462185959,2.441821943,2.473442141,2.402121448,2.558954184,2.605842355,
Austria,AUT,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,5.756268561,4.980932321,4.972323997,4.824833777,4.868806657,4.471601415,4.103259679,3.846339876,4.074633632,3.555783207,3.645366432,3.611437184,3.452408026,3.408208282,3.489057945,3.167076318,2.762204608,2.47958672,2.665864259,2.400361968,2.217147805,2.139226839,2.011223812,1.93764404,1.845898233,1.869486281,1.751075445,1.669128536,1.65582492,1.416550813,1.459895537,1.586027638,1.502560184,1.286994006,1.422421711,1.572965659,1.515509372,1.408118141,1.346102693,1.246117669,1.236724739,
Azerbaijan,AZE,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.02502802,32.31501686,28.5056167,28.48862115,32.99219397,27.28842832,27.5296626,21.73458154,18.92896334,19.1560716,17.14337347,16.10301355,15.17167667,13.46151444,11.84267051,9.895473393,7.500918359,7.002185706,5.970850713,6.6465395,5.920976527,5.393453691,5.492057227,5.660810486,5.691828905,6.783586761,6.038449959,
Burundi,BDI,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,70.63165235,69.26077751,65.32475225,67.9571987,65.86793786,65.67059044,64.7906644,63.84403621,60.71442473,60.62203176,62.2498857,61.31928993,56.85609019,57.24614179,60.13098241,61.53723632,58.52472731,55.11138488,54.24503787,53.67857949,55.8787003,54.3107131,53.53346466,52.61869799,46.77810863,48.14459886,57.22159775,47.72701889,48.03144784,47.88993034,48.05965423,46.43665432,45.78611742,46.36023027,45.44476975,44.49652934,44.34355215,37.33609897,40.59095317,40.53228661,40.44849519,40.34738068,40.58240062,39.82736966,39.26164095,40.42025619,39.75779461,
Belgium,BEL,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.440458149,1.470059254,1.483975201,1.390330408,1.195731599,1.308479497,1.229428325,1.145218025,1.140880657,1.137264917,0.936103654,1.011219707,0.990615986,0.790672057,0.724640463,0.852469439,0.718722499,0.876842812,0.7692733,0.72551117,0.763024952,0.691142466,
Benin,BEN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,46.15772309,46.19378573,44.70927268,43.71836971,45.52815226,44.61942503,45.14781983,42.0810132,38.868069,38.49666283,36.32785238,34.35773601,34.23102234,33.62392031,31.53369577,30.53866655,33.19650626,31.85508538,34.54214391,34.99288604,35.43268847,32.66465235,32.50119968,33.1576443,33.31156053,31.54554889,33.67105902,33.27995076,34.38009319,37.85688479,34.65494536,35.0437735,33.94190414,34.1194608,32.29399457,33.09015959,35.70530039,35.78193016,36.57664979,26.49962035,25.80426476,25.3414264,26.8860438,25.5945024,27.77229815,27.52527473,28.25733916,27.61541214,27.18074342,26.89697092,25.83182491,25.63837234,25.12041998,24.12492192,24.2925863,25.32139578,25.55772039,
Burkina Faso,BFA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,39.81252659,39.62272409,39.48651937,40.09831487,40.5412725,37.17534109,37.77699418,34.20648566,32.35556069,32.79866475,31.35564878,31.99750094,33.18583806,30.81809417,32.27419656,30.31976032,30.79158639,30.35561266,31.92544699,30.26927143,29.40998741,30.72000492,28.41455059,28.22589406,29.11195056,35.18860557,30.86631082,28.88169501,29.93156044,28.89774248,29.14138952,31.2274237,30.17491622,31.37245493,35.52219498,35.83498799,39.39431008,36.77055174,39.56794507,32.61298455,32.80850728,37.04837406,38.55286306,37.07569451,34.52063888,39.03079602,36.72400318,32.66645169,40.20187111,35.57352982,35.61687223,33.84527261,35.05548469,35.57151604,34.84599869,33.74618917,30.81895945,
Bangladesh,BGD,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,57.47431238,57.98823595,57.01857402,57.14666817,53.35683665,52.81869477,53.94737058,55.85247837,53.55573997,55.41281892,54.56149999,51.03131121,59.609906,56.638853,56.63655312,61.95413913,51.91445693,48.89805693,54.2503083,52.45201206,31.5543184,33.55332326,32.97962742,32.39604765,36.32530746,34.82201836,34.12527403,34.76872097,33.54966112,32.92929517,32.75288712,30.3651623,29.38477209,26.2515488,25.62847965,26.38432643,24.47159924,24.45855696,23.75577585,23.79209994,23.77274134,22.99528298,21.66846646,20.924354,20.31253911,19.59986784,19.00839958,18.70609422,18.47223669,17.86878314,17.81049845,17.71316726,17.09395293,16.27607081,16.10899801,15.50747193,14.7749946,
Bulgaria,BGR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,14.61081185,17.04008283,17.16503758,14.49470005,15.8379269,11.92374671,13.14305641,11.41742089,10.92347773,10.6153454,17.02671853,16.94193423,12.9391341,11.30054878,13.34325978,14.69914709,12.88177588,22.5891978,15.41101661,14.72195556,12.57954989,12.05726869,10.9104213,10.40492276,9.834489501,8.51037437,7.213994109,5.428672416,6.987484006,4.882275512,4.782263069,5.254549689,5.269397728,5.335184156,5.25900572,4.786592316,4.699479792,
Bahrain,BHR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300820095,0.2906319,0.278482671,0.27430164,0.302030221,0.31843508,0.335467012,
"Bahamas, The",BHS,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.33338929,2.190721649,2.084011626,2.085260325,,2.34391314,2.551210659,3.318907556,3.144474221,2.838003735,3.157496342,3.344744855,3.128055541,3.374874813,2.992721309,2.666727711,2.850292993,2.620122444,3.123889153,2.7654737,2.342788162,2.194145311,2.451847517,2.326734733,2.293187638,2.055177363,2.312206413,2.337073424,1.178206258,0.996412096,0.916953828,0.933006584,0.974562436,
Bosnia and Herzegovina,BIH,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.85332285,20.69999851,25.21315478,21.33744927,19.44020701,16.1533558,10.58301492,10.76126758,10.08915339,8.963525992,10.73575207,10.09853266,10.1411097,9.71670304,8.856753853,8.536401944,8.27877919,8.244955038,7.498870951,8.274094128,7.229175492,7.565353048,7.736616334,
Belarus,BLR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5450237,20.98803828,23.57232133,18.2883419,14.9995037,17.46044053,17.02530861,15.37783815,13.8722429,14.64210214,14.15322736,11.87493737,11.7752761,10.20404206,10.32874371,9.906985723,9.904019808,9.674873964,10.13811012,9.740167398,10.13236237,9.070463274,9.270664708,7.725789766,8.267519351,7.245629192,7.922208361,
Belize,BLZ,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,31.36165145,30.76923077,27.43830787,26.13168724,22.51192369,21.48214821,20.83445491,20.37259615,20.95213849,22.74624374,22.28496142,20.38819876,19.98050682,18.28921726,18.27473717,17.33915791,17.4195875,18.34338498,18.34410355,17.96645081,17.30450541,17.84180446,17.36807483,15.78809433,15.33867375,16.80569768,16.59974239,15.38706486,14.74960315,13.39347521,12.65130154,12.7904638,13.22475634,13.13404521,15.00688994,15.58293791,15.63580559,14.91270753,,
Bermuda,BMU,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84450145,0.842514291,0.736600783,0.738588207,0.70624074,0.728889703,0.835399002,0.862432201,0.88688856,0.841630847,0.895565609,0.799296109,0.821071628,0.769959628,0.774351453,0.815180507,0.77362359,,,,,
Bolivia,BOL,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,20.78299974,20.93701872,20.18941295,21.03499628,22.00073919,21.79392464,21.2915903,20.84693159,19.12915515,18.58726299,19.01624314,19.27080099,17.62611102,20.68747219,22.75380441,20.56370083,18.32860211,17.71655153,17.16372413,16.66770186,16.74085274,17.08879728,16.0268512,16.32908927,17.11495444,16.88361355,16.37743045,17.24065452,14.66998845,15.10590424,15.00764887,15.21536297,14.89878572,15.41800023,15.3746559,14.37801317,13.87611045,12.87696208,13.46940499,13.82934375,12.85313726,12.51438825,12.91594109,13.2834705,12.98669625,13.23723506,13.65458262,
Brazil,BRA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,20.59281427,19.49661001,17.35049021,16.79391435,17.28611786,18.70991783,15.69293862,15.10875991,14.0502916,13.21590683,12.34526314,12.85925947,12.99468155,13.35748722,12.92023444,12.09889632,13.00439895,14.67498588,11.61129227,11.01609103,11.01366772,10.73569424,8.967900584,10.93790659,11.46086133,11.54090033,11.15718936,10.0097597,10.11553876,8.518876828,8.1,7.789980585,7.719997556,7.559999723,9.850263575,5.771250392,5.454190235,5.330788546,5.398648212,5.365010542,5.5232778,5.637964981,6.417422576,7.20396922,6.673477811,5.478460422,5.13807221,5.180019383,5.408457482,5.235946019,4.842287244,5.107512214,4.901863805,5.276716384,5.026913772,4.971642306,5.45206965,
Barbados,BRB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.831775701,3.899636404,3.889756493,3.702369406,2.770562771,3.604513214,3.731694684,3.026069715,2.315763587,2.705393219,2.299478333,2.466453187,2.178269259,2.299433289,1.915819046,1.849421674,1.597082004,1.483924155,1.34456177,1.565448406,1.470091881,1.329700526,1.496487462,1.59621035,1.525179856,1.505977147,,
Brunei Darussalam,BRN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,1.33781821,1.335547213,1.10918347,1.017318066,1.08715347,0.902068196,0.634854457,0.693804542,0.843789381,0.984748704,1.065873459,1.212543374,1.927720227,1.930734886,2.216148334,0.961563596,0.966141671,1.022053167,0.965209098,1.077333434,1.198708954,1.161527571,1.122112852,1.227343527,1.410283186,1.234980121,1.024413492,1.134567236,1.093569608,1.222196519,1.127453453,0.946593335,0.706141843,0.689655172,0.635849769,0.908956973,0.733012306,0.575033258,0.655379574,0.684659216,0.863199099,1.102486219,1.203653379,
Bhutan,BTN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,43.63844989,41.39601602,42.17817588,42.31561939,42.68184695,43.48254909,42.10864199,36.62268579,38.31603641,35.75144166,35.27825443,33.82891002,34.35496639,32.22705064,34.86805961,32.01103676,31.16388685,31.20219953,29.5318159,27.27185573,27.38942128,26.13075667,26.34049001,25.18818182,24.9232769,23.18325097,22.13542151,19.23212392,18.96873295,18.74897932,17.49648751,17.11552217,16.97731546,16.98987816,17.73865345,17.49999387,17.3220621,
